subject,Race,Race_10_TEXT,Ethnicity,Ethnicity_3_TEXT,Education,Age,SexatBirth,SexatBirth_4_TEXT,CurrentGender,CurrentGender_8_TEXT,Handedness,Handedness_4_TEXT,Disability,Disability_5_TEXT
p181626,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,36,Male,NA,"Man,Cisgender",NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p121084,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,57,Female,NA,Woman,NA,Left-handed,NA,No,NA
p78082,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p282716,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,41,Female,NA,Woman,NA,Right-handed,NA,No,NA
p549498,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,31,Male,NA,Man,NA,Right-handed,NA,No,NA
p804109,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,56,Female,NA,Woman,NA,Right-handed,NA,No,NA
p840071,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,49,Female,NA,Woman,NA,Right-handed,NA,No,NA
p419329,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,51,Female,NA,Woman,NA,Right-handed,NA,No,NA
p199678,"American Indian, Native American, or Alaska Native",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p286628,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,60,Female,NA,Woman,NA,Right-handed,NA,No,NA
p480116,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,41,Female,NA,Woman,NA,Right-handed,NA,No,NA
p414806,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,39,Male,NA,Man,NA,Right-handed,NA,No,NA
p686198,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,61,Female,NA,Woman,NA,Right-handed,NA,No,NA
p793161,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,26,Female,NA,Woman,NA,Right-handed,NA,No,NA
p448830,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,59,Female,NA,Woman,NA,Right-handed,NA,No,NA
p127715,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,55,Female,NA,Woman,NA,Right-handed,NA,No,NA
p305802,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,48,Male,NA,Man,NA,Right-handed,NA,No,NA
p815097,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Female,NA,Woman,NA,Right-handed,NA,No,NA
p517946,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,41,Female,NA,Woman,NA,Right-handed,NA,No,NA
p481620,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p208063,"Black or African American,East or Southeast Asian",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,27,Male,NA,Man,NA,Right-handed,NA,No,NA
p990606,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p804619,"White or Caucasian,Black or African American,Biracial or multiracial",NA,"Hispanic, Latino, or Spanish Origin",NA,Less than high school,35,Female,NA,Woman,NA,Ambidextrous,NA,"Yes, mobility/orthopedic impairment,Yes, other",mental
p107880,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,27,Female,NA,Woman,NA,Right-handed,NA,No,NA
p430438,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,35,Female,NA,Woman,NA,Right-handed,NA,No,NA
p174883,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,36,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p7684,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Male,NA,Man,NA,Right-handed,NA,No,NA
p645573,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,41,Male,NA,Man,NA,Right-handed,NA,No,NA
p862512,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,55,Male,NA,Man,NA,Ambidextrous,NA,No,NA
p22866,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,25,Female,NA,Woman,NA,Right-handed,NA,No,NA
p743202,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,46,Female,NA,Woman,NA,Right-handed,NA,No,NA
p825541,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p343023,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,42,Female,NA,Woman,NA,Right-handed,NA,No,NA
p728584,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p151425,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p762326,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,26,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p643898,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Female,NA,Woman,NA,Right-handed,NA,No,NA
p148996,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,24,Male,NA,Man,NA,Right-handed,NA,No,NA
p146173,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,25,Female,NA,Woman,NA,Right-handed,NA,No,NA
p267362,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,46,Female,NA,Woman,NA,Right-handed,NA,No,NA
p823243,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,61,Male,NA,Man,NA,Right-handed,NA,No,NA
p212695,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,44,Female,NA,Woman,NA,Right-handed,NA,No,NA
p408692,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,26,Female,NA,Woman,NA,Right-handed,NA,No,NA
p247632,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p625855,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,61,Male,NA,Man,NA,Right-handed,NA,No,NA
p739709,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Associate's degree,26,Male,NA,Man,NA,Right-handed,NA,No,NA
p634719,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,52,Male,NA,Man,NA,Ambidextrous,NA,No,NA
p871446,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p10892,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,67,Female,NA,Woman,NA,Right-handed,NA,No,NA
p151642,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Male,NA,Man,NA,Left-handed,NA,No,NA
p1993,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p976953,"White or Caucasian,Black or African American",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Female,NA,Woman,NA,Right-handed,NA,No,NA
p980866,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Female,NA,Woman,NA,Right-handed,NA,No,NA
p968753,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,52,Female,NA,Woman,NA,Right-handed,NA,No,NA
p490837,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p401905,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p669627,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,41,Male,NA,Man,NA,Right-handed,NA,No,NA
p586650,Other:,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,41,Male,NA,Man,NA,Left-handed,NA,No,NA
p748221,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,Man,NA,Right-handed,NA,No,NA
p872508,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,46,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p86045,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,GED,30,Male,NA,Man,NA,Left-handed,NA,No,NA
p168188,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,37,Female,NA,Woman,NA,Right-handed,NA,No,NA
p91653,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p48695,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,47,Male,NA,Man,NA,Right-handed,NA,No,NA
p298435,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,28,Female,NA,Woman,NA,Left-handed,NA,No,NA
p443885,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p78219,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,32,Female,NA,Woman,NA,Right-handed,NA,No,NA
p473553,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p39868,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,50,Male,NA,Man,NA,Left-handed,NA,No,NA
p251632,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Male,NA,Man,NA,Right-handed,NA,No,NA
p746635,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Trade school,34,Male,NA,Man,NA,Right-handed,NA,No,NA
p823743,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,50,Male,NA,Man,NA,Right-handed,NA,No,NA
p412328,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,51,Male,NA,Man,NA,Right-handed,NA,No,NA
p999028,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,30,Male,NA,Man,NA,Right-handed,NA,No,NA
p503545,South Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,22,Female,NA,Woman,NA,Right-handed,NA,No,NA
p942139,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Female,NA,Woman,NA,Right-handed,NA,No,NA
p833987,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,51,Male,NA,Man,NA,Right-handed,NA,No,NA
p460029,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,22,Male,NA,Man,NA,Right-handed,NA,No,NA
p483327,"White or Caucasian,East or Southeast Asian",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,42,Female,NA,Woman,NA,Right-handed,NA,No,NA
p676082,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,41,Male,NA,Man,NA,Right-handed,NA,No,NA
p125269,"American Indian, Native American, or Alaska Native",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Female,NA,Woman,NA,Left-handed,NA,No,NA
p519197,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,46,Female,NA,Woman,NA,Right-handed,NA,No,NA
p281026,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,64,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p804875,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p972187,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Female,NA,Woman,NA,Right-handed,NA,No,NA
p228500,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,23,Female,NA,Woman,NA,Right-handed,NA,No,NA
p226865,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,47,Female,NA,Woman,NA,Right-handed,NA,No,NA
p828292,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p279981,"American Indian, Native American, or Alaska Native",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p945189,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Trade school,51,Female,NA,Woman,NA,Right-handed,NA,No,NA
p609206,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,49,Male,NA,Man,NA,Right-handed,NA,No,NA
p975195,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p821748,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Male,NA,Man,NA,Left-handed,NA,No,NA
p302613,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p410309,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,40324,Female,NA,Woman,NA,Right-handed,NA,No,NA
p79936,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,56,Female,NA,Woman,NA,Right-handed,NA,No,NA
p514868,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,48,Male,NA,Man,NA,Right-handed,NA,No,NA
p88065,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,55,Female,NA,Woman,NA,Left-handed,NA,No,NA
p573025,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p921920,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,34,Male,NA,Man,NA,Right-handed,NA,No,NA
p505536,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,45,Female,NA,Woman,NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p879055,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,34,Male,NA,"Man,Cisgender",NA,Left-handed,NA,No,NA
p855210,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,61,Female,NA,Woman,NA,Right-handed,NA,No,NA
p594648,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Graduate degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p857111,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,68,Male,NA,Man,NA,Right-handed,NA,No,NA
p557839,"White or Caucasian,Black or African American,Biracial or multiracial",NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,52,Female,NA,"Woman,Cisgender",NA,Right-handed,NA,No,NA
p482177,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,51,Male,NA,Man,NA,Right-handed,NA,No,NA
p168425,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,39,Male,NA,Man,NA,Right-handed,NA,No,NA
p177381,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p245670,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,42,Male,NA,Man,NA,Right-handed,NA,No,NA
p25199,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,49,Female,NA,Woman,NA,Left-handed,NA,No,NA
p309443,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p667211,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,28,Female,NA,Woman,NA,Right-handed,NA,No,NA
p363845,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,52,Female,NA,Woman,NA,Right-handed,NA,No,NA
p103310,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,30,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p905811,"White or Caucasian,Middle Eastern or North African",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,47,Male,NA,Man,NA,Right-handed,NA,No,NA
p168070,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p967468,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p925026,"White or Caucasian,Black or African American,Biracial or multiracial",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p6474,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,26,Male,NA,"Man,Gender fluid",NA,Right-handed,NA,No,NA
p531314,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,61,Female,NA,Woman,NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p608500,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,61,Male,NA,Man,NA,Right-handed,NA,No,NA
p627643,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,43,Male,NA,Man,NA,Right-handed,NA,No,NA
p658008,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Female,NA,Woman,NA,Right-handed,NA,No,NA
p813158,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p834126,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p499999,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Some college,53,Male,NA,Man,NA,Right-handed,NA,No,NA
p843968,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,50,Female,NA,Woman,NA,Right-handed,NA,No,NA
p792394,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,49,Male,NA,Man,NA,Right-handed,NA,No,NA
p484348,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,63,Male,NA,Man,NA,Right-handed,NA,No,NA
p853496,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,27,Male,NA,Man,NA,Right-handed,NA,No,NA
p859653,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,34,Male,NA,Man,NA,Right-handed,NA,No,NA
p626600,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Some college,60,Male,NA,Man,NA,Right-handed,NA,No,NA
p390239,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,30,Male,NA,Man,NA,Right-handed,NA,No,NA
p959918,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,58,Female,NA,Woman,NA,Left-handed,NA,No,NA
p948930,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,57,Male,NA,"Man,Cisgender",NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p954847,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,27,Male,NA,Man,NA,Right-handed,NA,No,NA
p862642,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,43,Female,NA,Woman,NA,Right-handed,NA,No,NA
p980604,Black or African American,NA,"Hispanic, Latino, or Spanish Origin",NA,Graduate degree,35,Female,NA,Woman,NA,Right-handed,NA,No,NA
p553390,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,48,Male,NA,Man,NA,Right-handed,NA,No,NA
p38191,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,25,Male,NA,Man,NA,Right-handed,NA,No,NA
p126516,White or Caucasian,NA,Other,NA,Bachelor's degree,63,Female,NA,Woman,NA,Right-handed,NA,No,NA
p280361,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,48,Female,NA,Woman,NA,Right-handed,NA,No,NA
p306406,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Female,NA,Woman,NA,Right-handed,NA,No,NA
p431078,Black or African American,NA,Other,African American,Bachelor's degree,30,Female,NA,Woman,NA,Right-handed,NA,No,NA
p733341,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p978945,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,53,Male,NA,Man,NA,Right-handed,NA,No,NA
p460201,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,56,Male,NA,Man,NA,Right-handed,NA,No,NA
p602960,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,38,Male,NA,Man,NA,Left-handed,NA,No,NA
p965002,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p901122,Biracial or multiracial,NA,"Hispanic, Latino, or Spanish Origin",NA,Some college,32,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p901122,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Some college,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p980941,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,55,Female,NA,Woman,NA,Right-handed,NA,No,NA
p770808,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,38,Male,NA,Man,NA,Right-handed,NA,No,NA
p128173,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,Man,NA,Right-handed,NA,No,NA
p246766,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,25,Male,NA,Man,NA,Ambidextrous,NA,No,NA
p485738,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,49,Female,NA,Woman,NA,Left-handed,NA,No,NA
